product_names,prices,links,ratings,reviews
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women ,374,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-13,3.9,"4,293"
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND) ,529,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-14,3.7,"2,775"
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 LTR Hedge Polyester - Black- Medium ,"1,329",https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-15,3.8,"1,339"
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown ,798,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-16,4.4,"6,243"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls ",649,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-17,4.1,"6,684"
ADISA Laptop Backpack 31 Ltrs ,349,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-18,4.0,"9,235"
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack ,"2,299",https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-19,4.5,"7,742"
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black ",499,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697715457&sprefix=ba%2Caps%2C283&sr=8-20,4.3,"13,246"
"uppercase Medium 21 Ltrs Office Overnighter (14.6 inch) Laptop Backpack with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Maroon) ","1,800",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzYxMjUyNTM4NDY2NTY6MTY5NzcxNTQ1NzpzcF9idGY6MjAwOTc2MTIyMzEyOTg6OjA6Og&url=%2Fuppercase-Overnighter-Backpack-Repellent-Sustainable%2Fdp%2FB0B8NV9YX3%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715457%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,3.6,35
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink) ","1,200",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzYxMjUyNTM4NDY2NTY6MTY5NzcxNTQ1NzpzcF9idGY6MjAwOTc2MTIyMzE2OTg6OjA6Og&url=%2Fuppercase-Backpack-1800EBP1-resistant-sustainable%2Fdp%2FB0B9T4YDPX%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715457%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.3,39
"Arctic Hunter Gaming Backpack Bag for 15.6 inch Laptop, Biking Backpack, Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black ","2,491",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTM5ODE3MTMzNjI2NjU2OjE2OTc3MTU0NjA6c3BfYXRmX25leHQ6MjAxMTgxODc0MDg3OTg6OjA6Og&url=%2FSemi-Hard-Anti-Theft-Backpack-Waterproof-Charging%2Fdp%2FB07X399726%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697715460%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.4,204
